record_ID,Budget
1,5439.316221
2,44425.47571
3,51841.72039
4,12070.1353
5,29136.5399
6,32567.73181
7,34383.32729
8,32048.5395
9,47425.7318
10,16474.49065
11,40013.25766
12,37676.94664
13,38285.1798
14,21150.89472
15,31732.32034
16,74030.24091
17,52949.95227
18,54806.98159
19,151699.6267
20,9333.460799
21,47955.43557
22,50867.23388
23,82894.46189
24,86154.10899
25,96392.26037
26,70279.9936
27,76258.76426
28,118298.0369
29,8014.16019
30,48144.62646
31,56278.02166
32,64287.72526
33,36942.37865
34,64463.98219
35,49035.7157
36,57934.1388
37,46535.98556
38,54133.21385
39,51517.28648
40,55986.17816
41,39802.98921
42,37119.54738
43,44910.42905
44,45552.50608
45,33383.50333
46,47091.22256
47,31079.76146
48,32000.64988
49,41228.71987
50,33945.86564
51,34562.74811
52,77615.10146
53,79580.6575
54,70483.18702
55,86642.08345
56,80824.71552
57,87253.78375
58,96931.72084
59,15406.23865
60,32053.41618
61,14034.71741
62,85490.93219
63,80761.33298
64,78321.54003
65,85127.15549
66,77688.53086
67,85353.66221
68,54212.86426
69,32290.11726
70,59992.48417
71,51572.08133
72,32289.30067
73,50635.0147
74,48017.94587
75,38194.85604
76,50110.39762
77,59380.61865
78,97989.08561
79,56958.98447
80,85386.40364
81,57512.54246
82,99563.00017
83,99123.82703
84,61373.66828
85,73741.39484
86,20370.58278
87,5982.976418
88,8829.407471
89,6756.925661
90,4307.304755
91,11343.61619
92,8164.711404
93,47319.13278
94,96117.25491
95,58467.20576
96,107553.13
97,78842.70268
98,50655.51453
99,70531.05861
100,101930.0919
101,79109.43636
102,71665.33993
103,62321.5632
104,77607.75092
105,37653.81869
106,62733.827
107,76119.5135
108,66966.82553
109,69176.46823
110,72042.22515
111,75193.5421
112,47074.00704
113,112031.8173
114,94350.53147
115,86859.30914
116,66411.16625
117,71638.09434
118,12909.40481
119,76096.8771
120,80005.75646
121,45672.87824
122,55018.72705
123,43557.71502
124,54295.23623
125,55070.37222
126,51409.06556
127,90840.56007
128,94331.04489
129,49854.33215
130,39740.12186
131,68614.10063
132,51488.30366
133,97578.25757
134,111240.7712
135,70616.58159
136,95432.58294
137,78063.88438
138,69392.1212
139,95124.6755
140,93961.07639
141,41361.25526
142,33732.99007
143,42552.95183
144,62591.97573
145,62260.50041
146,68807.65432
147,37023.53278
148,67184.1405
149,46596.13515
150,40065.51759
151,40706.60493
152,91451.30442
153,60827.60688
154,119563.8676
155,72127.86467
156,73435.54516
157,77211.73967
158,56599.94263
159,85252.00185
160,28427.85495
161,54209.45974
162,59952.60422
163,52107.45523
164,52528.23028
165,75973.4357
166,53449.43553
167,105202.5114
168,91157.57508
169,110943.9864
170,124666.8068
171,124026.5526
172,98575.97476
173,87592.14954
174,72096.18896
175,61720.51746
176,86147.82785
177,104255.2893
178,34089.53054
179,54436.40265
180,43524.73366
181,45495.86795
182,36317.48218
183,69930.37526
184,90848.94941
185,77724.60459
186,85175.10858
187,87469.2082
188,68993.51328
189,35652.50771
190,43312.0118
191,83299.83012
192,74971.81493
193,71254.93633
194,93473.9033
195,49218.12727
196,63404.16104
197,64908.96501
198,86751.32168
199,38543.96109
200,35722.52885
201,63661.52349
202,53029.80032
203,47812.3138
204,53052.76693
205,86975.12359
206,78966.12181
207,83145.89718
208,87995.37073
209,90124.96539
210,83022.66019
211,80590.50674
212,70736.53471
213,54394.75702
214,95950.41193
215,57354.88789
216,85572.64294
217,80546.77082
218,49529.84466
219,92840.33764
220,48868.34942
221,89132.81936
222,84137.86727
223,86065.19468
224,53773.54033
225,79981.42681
226,76608.04544
227,33132.71056
228,44722.32612
229,88187.4245
230,79374.6525
231,75319.36014
232,63658.16264
233,80334.55861
234,89410.73059
235,70454.93994
236,64912.06606
237,84309.43607
238,50947.99565
239,36304.81604
240,86315.52527
241,46944.91707
242,48560.31587
243,76653.58392
244,83667.75692
245,53787.65167
246,88642.30552
247,82925.34809
248,44340.48686
249,83441.23531
250,82165.32803
251,98766.41677
252,43984.9744
253,66007.79623
254,57694.61093
255,133585.5844
256,27797.85958
257,69691.38105
258,57583.85928
259,7893.31071
260,71723.26117
261,47785.20687
262,39162.96294
263,69279.19946
264,53891.44935
265,64686.41879
266,70245.10372
267,64884.33115
268,57129.06562
269,38786.22486
270,43773.1496
271,61222.83348
272,21797.05855
273,91100.51975
274,3752.609526
275,6407.409864
276,7106.252579
277,9023.000174
278,8525.197179
279,10521.37198
280,14358.56208
281,8467.842816
282,4014.900149
283,3757.088983
284,19534.29758
285,21154.7581
286,8117.73377
287,22465.29326
288,10091.73407
289,6703.425738
290,7064.121936
291,11681.36223
292,109757.5611
293,172350.8633
294,143934.699
295,183448.899
296,142696.0426
297,187128.8301
298,247590.7886
299,148839.5011
300,141808.5049
301,122819.6896
302,194003.2326
303,125248.3446
304,122366.7923
305,66805.92916
306,70128.94952
307,60468.61414
308,177497.4176
309,21701.18558
310,10083.69144
311,10842.15243
312,75946.4771
313,161640.2146
314,139439.3765
315,127658.7048
316,137286.6378
317,168941.5539
318,12340.56307
319,12022.98186
320,16910.02185
321,10129.58612
322,17315.21383
323,2094.293226
324,159817.6194
325,103213.2738
326,102497.9399
327,84387.19468
328,143459.1223
329,147185.7994
330,142896.4238
331,140249.7847
332,151505.9019
333,134650.1278
334,180449.8515
335,185921.199
336,167786.7909
337,110776.5384
338,116738.5722
339,133121.1299
340,157195.6313
341,177697.8183
342,212092.4464
343,13624.63364
344,20868.22276
345,133710.3691
346,139492.9178
347,199291.8145
348,136556.2119
349,68308.47125
350,167834.6409
351,66457.40489
352,110778.1139
353,113012.5164
354,130526.6298
355,110935.3933
356,136089.4971
357,163743.3604
358,74047.7324
359,129880.0388
360,115896.0523
361,136678.0862
362,80546.70682
363,177491.9068
364,5929.614154
365,8957.95422
366,40232.41762
367,15892.98418
368,8238.027695
369,39212.61561
